Alexandra,61.7*,56200,2.70929,0.19820153,11.80248,345.4387,313.34537,207.6295559
Pandora,57.8*,56200,2.7604795,0.14287885,7.18623,3.83716,10.45526,207.0223061
Melete,45.7*,56200,2.5960327,0.23691647,8.07013,103.65867,193.42419,42.6147685
Mnemosyne,82.5*,56200,3.1495625,0.1153154,15.22107,210.9326,199.22697,80.10931
Concordia,35.5*,56200,2.6993049,0.04467613,5.06067,31.62484,161.17589,124.4993114
Elpis,54.5*,56200,2.7127855,0.11755738,8.63389,211.9177,170.14634,348.853269
Echo,47.9*,56200,2.392444,0.18398039,3.60178,271.02228,191.64275,289.6055172
Danae,61.1*,56200,2.9810995,0.1679357,18.21637,13.04965,333.74997,172.27263
Erato,37.2*,56200,3.1282999,0.17183657,2.22962,273.9474,125.57994,175.2707043
Ausonia,64.9*,56200,2.3945071,0.12744349,5.78017,296.25068,337.77718,221.0081596
Angelina,61.4*,56200,2.6804888,0.1266014,1.31018,179.27933,309.17358,219.4905468
Cybele,136.5,56200,3.4253906,0.10999964,3.56301,102.63438,155.65048,248.2809216
Maja,28.2*,56200,2.647408,0.17074852,3.0466,43.78907,7.56222,189.9066513
Asia,46.4*,56200,2.4214754,0.18410101,6.02766,106.22949,202.66391,11.5999175
Leto,92.5*,56200,2.7804879,0.18736617,7.97342,305.14252,44.13772,110.7939098
Hesperia,81.7*,56200,2.976686,0.16971953,8.58412,289.73016,185.0463,199.7410663
Panopaea,50.1*,56200,2.6143238,0.18235566,11.59195,255.62867,47.74198,230.9397407
Niobe,72.8*,56200,2.7542774,0.17540044,23.26291,266.98265,316.06448,107.0888727
Feronia,34.2*,56200,2.2660274,0.11995046,5.41817,102.49028,208.0779,33.8190541
Klytia,33.3*,56200,2.6647443,0.0435803,2.37193,55.11442,7.17023,330.05487
Galatea,38.9*,56200,2.7764133,0.24076122,4.079,174.21694,197.28761,124.3639286
Eurydike,33.9*,56200,2.6708945,0.30594234,5.00261,339.5474,359.42976,140.0300245
Freia,55.2*,56200,3.4122475,0.1644157,2.11787,253.56601,204.53297,267.6207425
Frigga,41.5*,56200,2.668745,0.13115706,2.4299,60.58762,1.30755,102.310554
Diana,50.6*,56200,2.6199432,0.20701843,8.70168,152.94047,333.43004,119.9870944
Eurynome,53.7*,56200,2.444417,0.19134765,4.61839,201.07257,206.66784,330.0834414
Sappho,53.2*,56200,2.2951184,0.20057855,8.66605,139.2041,218.78042,137.7813401
Terpsichore,42.3*,56200,2.8567666,0.2073592,7.8001,51.51013,1.03386,217.0903936
Alkmene,43.9*,56200,2.7643467,0.21831217,2.82942,111.1204,25.53123,21.2679946
Beatrix,38.9*,56200,2.4316126,0.08124384,4.96461,169.0075,27.75941,325.5557481
Klio,28.7*,56200,2.3612176,0.23699918,9.33232,14.71045,327.61241,176.3011857
Io,63.1*,56200,2.653792,0.19117325,11.95968,122.4988,203.37578,33.8011639
Semele,41.1*,56200,3.1123504,0.20898767,4.82266,308.40252,86.41541,281.0414378
Sylvia,143,56200,3.4977645,0.08723151,10.88602,265.70854,73.14303,86.7004748
Thisbe,116,56200,2.7678557,0.16459506,5.21431,36.09252,276.69053,255.6810037
Julia,100.5*,56200,2.5512619,0.18279976,16.13682,44.85424,311.61202,277.4555563
